PPG,Year,Month,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 20_display_silver,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales,Vol.Sales_pred
ppg19_1,2018,8,30.9099823,6.02165562,2.253579185,0,0.0,0.276335663,0.0,2.021923708,-0.27690874899999995,0.0,-1.48175331,0.0,34.46924,39.724814416
ppg19_1,2018,9,36.320162876,7.527069525,2.253579185,0,0.0,0.276335663,0.0,0.0,-3.880489953,0.0,-2.96350662,0.0,37.258520000000004,39.53315068
ppg19_1,2018,10,22.84351154,6.02165562,0.0,0,0.0,0.0,0.0,0.0,-3.726965716,0.0,-4.44525993,-0.526693122,17.00712,20.166248398
ppg19_1,2018,11,21.449087004,6.02165562,0.0,0,0.0,0.0,0.0,2.021923708,-3.725081982,0.0,-1.48175331,0.0,24.14152,24.285831041
ppg19_1,2018,12,46.056586772,7.527069525,0.0,0,0.0,0.0,0.0,0.0,-4.561459429,0.0,-2.96350662,-0.526693122,46.16872,45.531997137
ppg19_1,2019,1,17.495507825,6.02165562,0.0,0,0.0,0.829006989,1.575096435,0.0,-3.596046272,0.0,-1.48175331,0.0,21.51604,20.843467287
ppg19_1,2019,2,14.566886965999998,6.02165562,0.0,0,0.0,0.0,0.0,0.0,-3.574383343,0.0,-2.96350662,-0.526693122,16.60152,13.5239595
ppg19_1,2019,3,25.871669669,7.527069525,0.0,0,0.0,0.0,0.0,1.010961854,-4.462563446,1.957440822,-1.48175331,-0.526693122,24.83468,29.896131994
ppg19_1,2019,4,41.677488215,6.02165562,0.0,0,0.0,0.0,0.0,2.021923708,-3.5668484100000004,1.957440822,-1.48175331,0.0,46.70846,46.629906644
ppg19_1,2019,5,46.8515273,6.02165562,0.0,0,0.0,0.0,0.0,0.0,-3.576267075,0.0,-1.48175331,0.0,48.400040000000004,47.81516253
ppg19_1,2019,6,59.294602940000004,7.527069525,2.253579185,0,0.0,0.276335663,0.0,0.0,-4.478575177,1.957440822,-2.96350662,-1.053386244,66.15232,62.813560089
ppg19_1,2019,7,38.799329835,6.02165562,0.0,0,0.0,0.0,0.0,2.021923708,-3.595104406,0.0,-1.48175331,-0.526693122,46.21966,41.239358325
ppg19_1,2019,8,30.9099823,6.02165562,2.253579185,0,0.0,0.0,1.575096435,1.010961854,-3.603581203,0.0,-1.48175331,-1.053386244,38.3344,35.632554643
ppg19_1,2019,9,36.320162876,7.527069525,0.0,0,0.0,0.0,0.0,0.0,-4.500238107,0.0,-2.96350662,0.0,31.17608,36.383487677
ppg19_1,2019,10,22.84351154,6.02165562,2.253579185,0,3.376387154,0.0,0.0,0.0,-3.624302267,0.0,-2.96350662,0.0,29.86672,27.907324611
ppg19_1,2019,11,21.449087004,6.02165562,0.0,0,0.0,0.0,0.0,0.0,-3.631837199,0.0,-1.48175331,-0.526693122,18.58948,21.830458993
ppg19_1,2019,12,46.056586772,7.527069525,2.253579185,0,3.376387154,0.0,0.0,0.0,-4.519075435,0.0,0.0,-0.526693122,46.47448,54.167854071
ppg19_1,2020,1,17.495507825,6.02165562,0.0,0,0.0,0.276335663,0.0,0.0,-3.6026393370000003,1.957440822,-1.48175331,0.0,18.76264,20.666547282
ppg19_1,2020,2,14.566886965999998,6.02165562,0.0,0,0.0,0.0,0.0,1.010961854,-3.5979300050000003,0.0,0.0,-1.053386244,17.12152,16.948188191
ppg19_1,2020,3,25.871669669,7.527069525,0.0,0,0.0,0.0,0.0,2.021923708,-4.4936450400000005,0.0,-2.96350662,0.0,35.720879999999994,27.963511241
ppg19_1,2020,4,41.677488215,6.02165562,0.0,0,0.0,0.552671326,0.0,0.0,-2.000524433,0.0,-1.48175331,0.0,49.88932,44.769537412
ppg19_1,2020,5,58.65601611,7.527069525,2.253579185,0,3.376387154,0.0,3.15019287,0.0,-0.151640506,0.0,-4.44525993,0.0,73.58882,70.36634441
ppg19_1,2020,6,47.49011413,6.02165562,0.0,0,0.0,0.0,0.0,0.0,-0.047093325,0.0,0.0,0.0,58.5052,53.464676419999996
ppg19_1,2020,7,38.799329835,6.02165562,0.0,0,0.0,0.0,0.0,0.0,-0.000941866,1.957440822,-1.48175331,0.0,43.31806,45.295731106
ppg19_1,2020,8,38.967266756,7.527069525,0.0,0,0.0,0.0,0.0,0.0,-0.004709329999999999,0.0,-2.96350662,-0.526693122,35.08128,42.999427209
ppg19_1,2020,9,28.26287842,6.02165562,2.253579185,0,0.0,0.0,0.0,1.010961854,-0.006593065,0.0,-1.48175331,0.0,40.55324,36.060728704
