PPG,Year,Month,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales,Vol.Sales_pred
ppg5_1,2018,8,92.84429691999999,-8.126291344,7.378339706,0,0.0,1.625382771,0.0,3.19106857,-1.474318329,2.704068806,103.60794,98.14254709
ppg5_1,2018,9,117.84046698,-10.15786418,7.378339706,0,0.0,1.625382771,0.0,0.0,-1.474318329,2.704068806,119.839925,117.91607575
ppg5_1,2018,10,93.3357295,-8.126291344,0.0,0,0.0,0.0,0.0,3.19106857,-2.948636658,5.408137612,85.15614,90.86000767
ppg5_1,2018,11,104.79845588,-8.126291344,0.0,0,0.0,0.0,0.0,3.19106857,-2.948636658,5.408137612,110.03724,102.32273406
ppg5_1,2018,12,171.26834533000002,-10.15786418,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,169.63242,161.11048117
ppg5_1,2019,1,98.18843745000001,-8.126291344,0.0,0,0.0,3.250765542,6.778209204,0.0,0.0,0.0,97.1892,100.09112086
ppg5_1,2019,2,88.44656073,-8.126291344,0.0,0,0.0,0.0,0.0,0.0,-1.474318329,2.704068806,85.53168000000001,81.55001985999999
ppg5_1,2019,3,110.06088745,-10.15786418,0.0,0,0.0,0.0,0.0,3.19106857,0.0,0.0,101.41857999999999,103.09409184
ppg5_1,2019,4,88.17828631,-8.126291344,0.0,0,0.0,0.0,0.0,3.19106857,0.0,0.0,86.41108,83.24306354
ppg5_1,2019,5,89.74536369,-8.126291344,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,89.227745,81.61907234
ppg5_1,2019,6,124.29683883999999,-10.15786418,7.378339706,0,0.0,3.250765542,0.0,3.19106857,0.0,0.0,132.39939999999999,127.95914848
ppg5_1,2019,7,92.13999713,-8.126291344,0.0,0,0.0,0.0,0.0,3.19106857,0.0,0.0,86.25792,87.20477437
ppg5_1,2019,8,92.84429691999999,-8.126291344,7.378339706,0,0.0,0.0,3.389104602,0.0,-1.474318329,2.704068806,98.57618,96.71520035
ppg5_1,2019,9,117.84046698,-10.15786418,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,106.3592,107.6826028
ppg5_1,2019,10,93.3357295,-8.126291344,7.378339706,0,5.049010736,1.625382771,0.0,0.0,0.0,0.0,111.99242,99.26217136
ppg5_1,2019,11,104.79845588,-8.126291344,0.0,0,0.0,1.625382771,0.0,0.0,-1.474318329,2.704068806,112.2555,99.52729778
ppg5_1,2019,12,171.26834533000002,-10.15786418,7.378339706,0,5.049010736,0.0,0.0,0.0,0.0,2.704068806,192.99364,176.24190041
ppg5_1,2020,1,98.18843745000001,-8.126291344,0.0,0,0.0,1.625382771,0.0,0.0,0.0,0.0,83.96742,91.68752887
ppg5_1,2020,2,88.44656073,-8.126291344,0.0,0,0.0,0.0,0.0,1.595534285,0.0,0.0,77.25664,81.91580368
ppg5_1,2020,3,110.06088745,-10.15786418,0.0,0,0.0,0.0,0.0,3.19106857,0.0,0.0,100.16918,103.09409184
ppg5_1,2020,4,88.17828631,-8.126291344,0.0,0,0.0,3.250765542,0.0,0.0,0.0,0.0,76.10654,83.30276051
ppg5_1,2020,5,113.51975966,-10.15786418,7.378339706,0,5.049010736,0.0,0.0,0.0,0.0,2.704068806,95.93688,118.49331472
ppg5_1,2020,6,100.52244286999999,-8.126291344,0.0,0,0.0,0.0,0.0,0.0,-2.948636658,5.408137612,79.2539,94.85565248
ppg5_1,2020,7,92.13999713,-8.126291344,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,82.77091999999999,84.01370581
ppg5_1,2020,8,116.01968348,-10.15786418,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,92.80488,105.86181927999999
ppg5_1,2020,9,94.66508042,-8.126291344,7.378339706,0,0.0,0.0,0.0,1.595534285,0.0,0.0,96.12708,95.51266307
