,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 0_Promo.Group 22_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 20_display_silver,perc Retailer 1_Promo.Group 6_promo_catalogue,perc Retailer 1_Promo.Group 3_display_bronze
0,ppg19_1,2018,8,34.46924,39.724814416,89.6741045059305,17.469650099625056,6.537942771584173,0.0,0.0,0.8016877163523188,0.0,5.865878412172709,-0.8033503175584954,0.0,-4.298769888747184,0.0
1,ppg19_1,2018,9,37.25852,39.53315068,97.48149651676987,20.202277291207487,6.048493566035367,0.0,0.0,0.7416710674498075,0.0,0.0,-10.415040514223325,0.0,-7.953903214620442,0.0
2,ppg19_1,2018,10,17.00712,20.166248398,134.31734203086708,35.40667449868055,0.0,0.0,0.0,0.0,0.0,0.0,-21.91414957970544,0.0,-26.137640764573895,-3.0968977816349854
3,ppg19_1,2018,11,24.14152,24.285831041,88.84729297906676,24.943150307022922,0.0,0.0,0.0,0.0,0.0,8.375295789163234,-15.430188248295881,0.0,-6.137779684129251,0.0
4,ppg19_1,2018,12,46.16872,45.531997137,99.75712294384597,16.30339659622359,0.0,0.0,0.0,0.0,0.0,0.0,-9.879978108554884,0.0,-6.418862424602631,-1.1408007889324199
5,ppg19_1,2019,1,21.51604,20.843467287,81.31379112978038,27.986821087895354,0.0,0.0,0.0,3.852971964171846,7.320568445680525,0.0,-16.71332769412959,0.0,-6.88673803357867,0.0
6,ppg19_1,2019,2,16.60152,13.5239595,87.74429670295248,36.27171259017246,0.0,0.0,0.0,0.0,0.0,0.0,-21.530458313455636,0.0,-17.850814985615774,-3.172559633093837
7,ppg19_1,2019,3,24.83468,29.896131994,104.17557089118925,30.30870349446822,0.0,0.0,0.0,0.0,0.0,4.07076658124848,-17.969079714334953,7.88188461457929,-5.96646830158472,-2.12079689369865
8,ppg19_1,2019,4,46.70846,46.629906644,89.22899238167989,12.892002048451179,0.0,0.0,0.0,0.0,0.0,4.32881689526908,-7.636407644353936,4.190762919608139,-3.1723446030975975,0.0
9,ppg19_1,2019,5,48.40004,47.81516253,96.80059623917667,12.441426949233927,0.0,0.0,0.0,0.0,0.0,0.0,-7.388975453326073,0.0,-3.0614712508502064,0.0
10,ppg19_1,2019,6,66.15232,62.813560089,89.63344435992569,11.378390848574925,3.406651777292164,0.0,0.0,0.4177263367331637,0.0,0.0,-6.770095405573076,2.958990436011919,-4.479822657769221,-1.5923647787409418
11,ppg19_1,2019,7,46.21966,41.239358325,83.94551114179552,13.028342527833395,0.0,0.0,0.0,0.0,0.0,4.3745966716328075,-7.778301281316219,0.0,-3.2058940070091384,-1.1395434799823279
12,ppg19_1,2019,8,38.3344,35.632554643,80.63249274802787,15.708229736216033,5.878738639446554,0.0,0.0,0.0,4.108832888997871,2.63721840957469,-9.400385040590175,0.0,-3.865335860219542,-2.747887651821862
13,ppg19_1,2019,9,31.17608,36.383487677,116.50009518836235,24.14373303186289,0.0,0.0,0.0,0.0,0.0,0.0,-14.434906848455611,0.0,-9.505706362057065,0.0
14,ppg19_1,2019,10,29.86672,27.907324611,76.48483509404448,20.161757367397556,7.545452547182951,0.0,11.304847515897293,0.0,0.0,0.0,-12.134918956617934,0.0,-9.922437482254495,0.0
15,ppg19_1,2019,11,18.58948,21.830458993,115.38293165812061,32.392813677413244,0.0,0.0,0.0,0.0,0.0,0.0,-19.537056437296798,0.0,-7.970923931169673,-2.8332859337646883
16,ppg19_1,2019,12,46.47448,54.167854071,99.10081139584564,16.196135007858075,4.849068101461275,0.0,7.265034819109327,0.0,0.0,0.0,-9.723778372560597,0.0,0.0,-1.1332953526322402
17,ppg19_1,2020,1,18.76264,20.666547282,93.2465144830365,32.09386109843817,0.0,0.0,0.0,1.4727973408859307,0.0,0.0,-19.201132340651423,10.432651385945686,-7.8973604460779505,0.0
18,ppg19_1,2020,2,17.12152,16.948188191,85.07940279834966,35.17009950051164,0.0,0.0,0.0,0.0,0.0,5.9046267737911124,-21.01408055476383,0.0,0.0,-6.1524107906307375
19,ppg19_1,2020,3,35.720879999999994,27.963511241,72.42730209614098,21.071903953654,0.0,0.0,0.0,0.0,0.0,5.660341256990311,-12.57988336233598,0.0,-8.296286709621937,0.0
20,ppg19_1,2020,4,49.88932,44.769537412,83.53990035342234,12.070029457206473,0.0,0.0,0.0,1.1077948667169648,0.0,0.0,-4.009925236503524,0.0,-2.970081191726005,0.0
21,ppg19_1,2020,5,73.58882,70.36634441,79.70778184784048,10.228550376266394,3.0623934247077202,0.0,4.588179500636103,0.0,4.280803619354136,0.0,-0.20606459785603304,0.0,-6.040672931024034,0.0
22,ppg19_1,2020,6,58.5052,53.46467642,81.17246694310933,10.292513520165727,0.0,0.0,0.0,0.0,0.0,0.0,-0.08049425521150255,0.0,0.0,0.0
23,ppg19_1,2020,7,43.31806,45.295731106,89.56848444967295,13.901027931537099,0.0,0.0,0.0,0.0,0.0,0.0,-0.002174303281356552,4.518763818139593,-3.420636358137922,0.0
24,ppg19_1,2020,8,35.08128,42.999427209,111.077095123097,21.456085767109982,0.0,0.0,0.0,0.0,0.0,0.0,-0.013424054082404916,0.0,-8.447544160304298,-1.50135092562187
25,ppg19_1,2020,9,40.55324,36.060728704,69.69326845401255,14.848765770626462,5.557087880031287,0.0,0.0,0.0,0.0,2.4929249894706316,-0.016257800856355746,0.0,-3.653846918273361,0.0
