,PPG,Year,Month,Vol.Sales,Vol.Sales_pred,perc Seasonal_index,perc const,perc promo_catalogue,perc promo_ins,perc display_platinum,perc display_gold,perc display_silver,perc display_bronze,perc Retailer 0_Promo.Group 22_Wtd.Selling.Dist,perc Retailer 0_Promo.Group 22_promo_ins,perc Retailer 0_Promo.Group 19_display_bronze,perc Retailer 0_Promo.Group 22_display_bronze
0,ppg5_0,2018,8,96.3878,96.38683577,73.66433707377904,3.5354094314840676,0.0,21.72847344165963,0.0,0.0,0.0,0.0,-0.8194496181051959,1.8902293122158613,0.0,0.0
1,ppg5_0,2018,9,108.09748,111.04630833,76.38112252015496,3.940544418796812,0.0,24.218415549557676,0.0,0.0,0.0,0.0,-10.23949742214157,8.427349319336583,0.0,0.0
2,ppg5_0,2018,10,77.59408,85.89490449,83.62304282749406,4.3917053620585484,0.0,26.991231191864124,0.0,0.0,0.0,0.0,-13.700438157137759,9.392213679187897,0.0,0.0
3,ppg5_0,2018,11,76.465,80.36331931,77.61665133067417,4.456553157653828,0.0,27.38978293859936,0.0,0.0,0.0,0.0,-13.895711524226769,9.530898837376576,0.0,0.0
4,ppg5_0,2018,12,136.5352,121.38819209,69.46951211848666,3.119802962898945,0.0,19.174174062805783,0.0,0.0,0.0,0.0,-9.529427994392655,6.672090600079686,0.0,0.0
5,ppg5_0,2019,1,61.07808,49.48610621,92.23554432293876,5.579257520865095,0.0,0.0,0.0,0.0,0.0,0.0,-16.793744525040736,0.0,0.0,0.0
6,ppg5_0,2019,2,64.55892,51.340185399,90.03866203152097,5.2784392489837195,0.0,0.0,0.0,0.0,0.0,0.0,-15.792559372120849,0.0,0.0,0.0
7,ppg5_0,2019,3,85.91476,74.08334811,96.08669497534532,4.957971383496853,0.0,0.0,0.0,0.0,0.0,0.0,-14.81577144486,0.0,0.0,0.0
8,ppg5_0,2019,4,45.31644,55.56599868,137.54899674378657,7.519794961828421,0.0,0.0,0.0,0.0,0.0,0.0,-22.45104264809857,0.0,0.0,0.0
9,ppg5_0,2019,5,42.68052,65.30011514,168.91380578305984,7.984212404160024,0.0,0.0,0.0,0.0,0.0,0.0,-23.900549707454356,0.0,0.0,0.0
10,ppg5_0,2019,6,71.84896,73.75032124,114.63745322131315,5.928588548811285,8.28570080763869,7.287369755943579,0.0,0.0,0.0,-19.356129207715743,-17.77980647875766,0.0,0.0,3.643154286436435
11,ppg5_0,2019,7,51.99324,48.242366326,105.95468391660145,6.5541277519923735,0.0,0.0,0.0,0.0,0.0,0.0,-19.722968126241025,0.0,0.0,0.0
12,ppg5_0,2019,8,66.80968,66.46757053,106.27716506051219,5.10061322251506,8.91066962003111,0.0,0.0,0.0,0.0,-10.408055787724175,-15.385179539851112,0.0,4.992721702902933,0.0
13,ppg5_0,2019,9,72.92106,73.98930087,113.22664349640557,5.841425254926355,0.0,0.0,0.0,0.0,0.0,0.0,-17.603140973266164,0.0,0.0,0.0
14,ppg5_0,2019,10,67.30034,57.95634052,96.41337733212046,5.063426681053914,0.0,0.0,0.0,0.0,0.0,0.0,-15.360834133973169,0.0,0.0,0.0
15,ppg5_0,2019,11,57.93638,52.39788971,102.4392142553608,5.881802370117014,0.0,0.0,0.0,0.0,0.0,0.0,-17.880623713459485,0.0,0.0,0.0
16,ppg5_0,2019,12,83.14304,86.21983828,114.08091081346075,5.123254111228072,0.0,0.0,0.0,0.0,0.0,0.0,-15.50355657671406,0.0,0.0,0.0
17,ppg5_0,2020,1,43.13948,49.46730026,130.58965835934973,7.899268540093668,0.0,0.0,0.0,0.0,0.0,0.0,-23.820645624379342,0.0,0.0,0.0
18,ppg5_0,2020,2,42.92382,51.27302132,135.4212830777876,7.9389564395713155,0.0,0.0,0.0,0.0,0.0,0.0,-23.909031959410882,0.0,0.0,0.0
19,ppg5_0,2020,3,66.92022,73.99469154,123.35980572090168,6.365234924511605,0.0,0.0,0.0,0.0,0.0,0.0,-19.15353991663506,0.0,0.0,0.0
20,ppg5_0,2020,4,70.7248,60.03375259,88.13359469379907,4.818258053752007,0.0,0.0,0.0,0.0,0.0,0.0,-8.06825803254304,0.0,0.0,0.0
21,ppg5_0,2020,5,108.67638,90.56058445,79.80896294116533,3.919553830372341,0.0,0.0,0.0,0.0,0.0,0.0,-0.39800424802519185,0.0,0.0,0.0
22,ppg5_0,2020,6,64.27034,70.99899196,105.37616065202083,5.3021399482249505,0.0,0.0,0.0,0.0,0.0,0.0,-0.20900486756410502,0.0,0.0,0.0
23,ppg5_0,2020,7,50.1722,56.77660052,109.80039364428909,6.792015044187817,0.0,10.435857668190753,0.0,0.0,0.0,-13.859445601348956,-0.005354684466696696,0.0,0.0,0.0
24,ppg5_0,2020,8,84.96268,93.08627306,104.5636468388238,5.013529722697071,0.0,0.0,0.0,0.0,0.0,0.0,-0.015810253395961496,0.0,0.0,0.0
25,ppg5_0,2020,9,65.81758,68.11832331,98.34671203347189,5.177497215789459,0.0,0.0,0.0,0.0,0.0,0.0,-0.028572823552613143,0.0,0.0,0.0
