PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 0_Promo.Group 20_display_silver,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales,Vol.Sales_pred
ppg19_1,05-08-2018,2018,8,31,8.797723238,1.505413905,2.253579185,0,0,0.276335663,0,0,0,0,0,0,9.95852,12.83305199
ppg19_1,12-08-2018,2018,8,32,6.615576871,1.505413905,0,0,0,0,0,0,0,0,0,0,9.4926,8.120990776
ppg19_1,19-08-2018,2018,8,33,8.14965264,1.505413905,0,0,0,0,0,1.010961854,-0.024488529,0,0,0,9.53888,10.64153987
ppg19_1,26-08-2018,2018,8,34,7.347029551,1.505413905,0,0,0,0,0,1.010961854,-0.25242022,0,-1.48175331,0,5.47924,8.12923178
ppg19_1,02-09-2018,2018,9,35,8.057284456,1.505413905,0,0,0,0,0,0,-0.461514582,0,0,0,7.85772,9.10118378
ppg19_1,09-09-2018,2018,9,36,5.920588381,1.505413905,0,0,0,0.276335663,0,0,-0.715818535,0,-1.48175331,0,5.35444,5.504766104
ppg19_1,16-09-2018,2018,9,37,7.018916638,1.505413905,0,0,0,0,0,0,-0.885354504,0,0,0,6.51768,7.63897604
ppg19_1,23-09-2018,2018,9,38,6.655956229,1.505413905,0,0,0,0,0,0,-0.903249967,0,-1.48175331,0,7.01844,5.776366856
ppg19_1,30-09-2018,2018,9,39,8.667417172,1.505413905,2.253579185,0,0,0,0,0,-0.914552365,0,0,0,10.51024,11.5118579
ppg19_1,07-10-2018,2018,10,40,10.02872787,1.505413905,0,0,0,0,0,0,-0.929622229,0,-1.48175331,0,4.05756,9.12276624
ppg19_1,14-10-2018,2018,10,41,3.791234647,1.505413905,0,0,0,0,0,0,-0.932447829,0,0,-0.526693122,3.98476,3.837507602
ppg19_1,21-10-2018,2018,10,42,4.536939688,1.505413905,0,0,0,0,0,0,-0.932447829,0,-1.48175331,0,3.7726,3.628152455
ppg19_1,28-10-2018,2018,10,43,4.486609335,1.505413905,0,0,0,0,0,0,-0.932447829,0,-1.48175331,0,5.1922,3.577822101
ppg19_1,04-11-2018,2018,11,44,5.274507992,1.505413905,0,0,0,0,0,1.010961854,-0.931505962,0,0,0,6.63468,6.85937779
ppg19_1,11-11-2018,2018,11,45,4.423725343,1.505413905,0,0,0,0,0,1.010961854,-0.931505962,0,-1.48175331,0,4.485,4.52684183
ppg19_1,18-11-2018,2018,11,46,5.908482718,1.505413905,0,0,0,0,0,0,-0.931505962,0,0,0,6.61492,6.482390661
ppg19_1,25-11-2018,2018,11,47,5.842370951,1.505413905,0,0,0,0,0,0,-0.930564096,0,0,0,6.40692,6.41722076
ppg19_1,02-12-2018,2018,12,48,10.95916421,1.505413905,0,0,0,0,0,0,-0.92679663,0,-1.48175331,0,9.0896,10.05602818
ppg19_1,09-12-2018,2018,12,49,6.645196444,1.505413905,0,0,0,0,0,0,-0.919261698,0,-1.48175331,0,6.49064,5.749595341
ppg19_1,16-12-2018,2018,12,50,10.36627982,1.505413905,0,0,0,0,0,0,-0.912668632,0,0,-0.526693122,10.699,10.43233197
ppg19_1,23-12-2018,2018,12,51,13.58572666,1.505413905,0,0,0,0,0,0,-0.902308101,0,0,0,14.48252,14.18883247
ppg19_1,30-12-2018,2018,12,52,4.500219638,1.505413905,0,0,0,0,0,0,-0.900424368,0,0,0,5.40696,5.105209176
ppg19_1,06-01-2019,2019,1,1,4.375338627,1.505413905,0,0,0,0.276335663,0,0,-0.898540635,0,0,0,5.81672,5.25854756
ppg19_1,13-01-2019,2019,1,2,4.784455624,1.505413905,0,0,0,0.276335663,0,0,-0.895715035,0,0,0,5.65188,5.670490157
ppg19_1,20-01-2019,2019,1,3,4.248379799,1.505413905,0,0,0,0.276335663,0,0,-0.901366234,0,-1.48175331,0,5.06792,3.647009822
ppg19_1,27-01-2019,2019,1,4,4.087333775,1.505413905,0,0,0,0,1.575096435,0,-0.900424368,0,0,0,4.97952,6.267419748
ppg19_1,03-02-2019,2019,2,5,3.466144133,1.505413905,0,0,0,0,0,0,-0.899482501,0,0,0,4.41948,4.072075536
ppg19_1,10-02-2019,2019,2,6,3.385864971,1.505413905,0,0,0,0,0,0,-0.894773169,0,-1.48175331,0,3.71956,2.514752397
ppg19_1,17-02-2019,2019,2,7,4.246818125,1.505413905,0,0,0,0,0,0,-0.88912197,0,0,0,4.96028,4.86311006
ppg19_1,24-02-2019,2019,2,8,3.468059737,1.505413905,0,0,0,0,0,0,-0.891005703,0,-1.48175331,-0.526693122,3.5022,2.074021507
ppg19_1,03-03-2019,2019,3,9,4.305551367,1.505413905,0,0,0,0,0,0,-0.892889436,0,0,0,4.667,4.918075837
ppg19_1,10-03-2019,2019,3,10,4.299318086,1.505413905,0,0,0,0,0,0,-0.893831302,1.957440822,0,-0.526693122,3.95148,6.34164839
ppg19_1,17-03-2019,2019,3,11,5.430996146,1.505413905,0,0,0,0,0,0,-0.894773169,0,-1.48175331,0,5.47248,4.559883572
ppg19_1,24-03-2019,2019,3,12,4.670636462,1.505413905,0,0,0,0,0,0,-0.892889436,0,0,0,3.7206,5.283160931
ppg19_1,31-03-2019,2019,3,13,7.165167608,1.505413905,0,0,0,0,0,1.010961854,-0.888180103,0,0,0,7.02312,8.793363264
ppg19_1,07-04-2019,2019,4,14,8.282767959,1.505413905,0,0,0,0,0,1.010961854,-0.890063836,0,0,0,9.29344,9.909079882
ppg19_1,14-04-2019,2019,4,15,9.117967136,1.505413905,0,0,0,0,0,1.010961854,-0.893831302,0,-1.48175331,0,8.37822,9.258758282
ppg19_1,21-04-2019,2019,4,16,13.7827243,1.505413905,0,0,0,0,0,0,-0.892889436,1.957440822,0,0,18.54476,16.35268959
ppg19_1,28-04-2019,2019,4,17,10.49402882,1.505413905,0,0,0,0,0,0,-0.890063836,0,0,0,10.49204,11.10937889
ppg19_1,05-05-2019,2019,5,18,10.30583191,1.505413905,0,0,0,0,0,0,-0.892889436,0,0,0,12.89236,10.91835638
