PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Vol.Sales,Vol.Sales_pred
ppg20_0,05-08-2018,2018,8,31,3.620860087,1.061966758,0,0,0,0,0,0,3.71096,4.682826845
ppg20_0,12-08-2018,2018,8,32,10.52556662,1.061966758,0.505581472,0,0,0,0,0,11.3003,12.09311485
ppg20_0,19-08-2018,2018,8,33,6.32552476,1.061966758,0,0.497560384,0,0,0,0,6.6083,7.885051901
ppg20_0,26-08-2018,2018,8,34,7.960715899,1.061966758,0.505581472,0,0,0,0,0,7.87072,9.528264128
ppg20_0,02-09-2018,2018,9,35,3.584823505,1.061966758,0,0,0,0,0,0,3.66872,4.646790263
ppg20_0,09-09-2018,2018,9,36,14.62446657,1.061966758,0.505581472,0,0,0,0,0,15.11728,16.1920148
ppg20_0,16-09-2018,2018,9,37,3.30542049,1.061966758,0,0,0,0,0,0,3.60338,4.367387248
ppg20_0,23-09-2018,2018,9,38,6.582199768,1.061966758,0,0.497560384,0,0,0,0,7.59148,8.14172691
ppg20_0,30-09-2018,2018,9,39,10.88230856,1.061966758,0.505581472,0,0,0,0,0,18.67024,12.44985679
ppg20_0,07-10-2018,2018,10,40,5.938896286,1.061966758,0,0.497560384,0,0,0,0,10.2528,7.498423427
ppg20_0,14-10-2018,2018,10,41,5.527685261,1.061966758,0,0.497560384,0,0,0,0,9.8652,7.087212403
ppg20_0,21-10-2018,2018,10,42,10.45600698,1.061966758,0,0,0,0,0,0,4.8708,11.51797374
ppg20_0,28-10-2018,2018,10,43,11.76486773,1.061966758,0.505581472,0,0,0,0,0,11.06446,13.33241596
ppg20_0,04-11-2018,2018,11,44,8.551366292,1.061966758,0,0.497560384,0,0,0,0,10.1332,10.11089343
ppg20_0,11-11-2018,2018,11,45,3.867925158,1.061966758,0,0.497560384,0,0,0,0,5.84892,5.427452299
ppg20_0,18-11-2018,2018,11,46,8.054994702,1.061966758,0.505581472,0,0,0,0,0.61154999,10.42268,10.23409292
ppg20_0,25-11-2018,2018,11,47,2.531960013,1.061966758,0,0,0,0,0,0,3.15854,3.593926771
ppg20_0,02-12-2018,2018,12,48,5.616754378,1.061966758,0.505581472,0,0,0,0,0,6.80746,7.184302607
ppg20_0,09-12-2018,2018,12,49,3.407955714,1.061966758,0,0,0,0,0,0,3.07274,4.469922472
ppg20_0,16-12-2018,2018,12,50,5.007657455,1.061966758,0,0,0,0,0,0,3.3044,6.069624213
ppg20_0,23-12-2018,2018,12,51,9.297139845,1.061966758,0.505581472,0,0,0,0,0,8.00376,10.86468807
ppg20_0,30-12-2018,2018,12,52,6.375754189,1.061966758,0.505581472,0,0,0,0,0,6.6046,7.943302419
ppg20_0,06-01-2019,2019,1,1,3.96554974,1.061966758,0,0,0,0,0,0,5.34402,5.027516498
ppg20_0,13-01-2019,2019,1,2,15.85398964,1.061966758,0.505581472,0,6.3136413,0,0,0,25.60118,23.73517917
ppg20_0,20-01-2019,2019,1,3,6.556696475,1.061966758,0,0,0,0,0,0,10.74942,7.618663233
ppg20_0,27-01-2019,2019,1,4,8.142422567,1.061966758,0,0,0,0,0,0,13.18308,9.204389325
ppg20_0,03-02-2019,2019,2,5,2.463908052,1.061966758,0,0,0,0,0,0,3.3143,3.525874809
ppg20_0,10-02-2019,2019,2,6,11.09175098,1.061966758,0.505581472,0,0,2.351286039,0,0,18.6485,15.01058525
ppg20_0,17-02-2019,2019,2,7,4.581203532,1.061966758,0,0.497560384,0,0,0,0.61154999,7.04044,6.752280663
ppg20_0,24-02-2019,2019,2,8,6.186235023,1.061966758,0,0,0,0,0,0,9.0893,7.248201781
ppg20_0,03-03-2019,2019,3,9,2.017868652,1.061966758,0,0,0,0,0,0,2.91544,3.07983541
ppg20_0,10-03-2019,2019,3,10,6.191889685,1.061966758,0.505581472,0,0,0,1.482809721,0,9.3599,9.242247636
ppg20_0,17-03-2019,2019,3,11,4.934424279,1.061966758,0,0,0,0,0,0,5.51844,5.996391037
ppg20_0,24-03-2019,2019,3,12,7.211076268,1.061966758,0,0,0,0,0,0,8.9793,8.273043026
ppg20_0,31-03-2019,2019,3,13,5.869647435,1.061966758,0,0,0,0,0,0,5.89842,6.931614193
ppg20_0,07-04-2019,2019,4,14,7.979544484,1.061966758,0,0,0,0,0,0,7.58978,9.041511242
ppg20_0,14-04-2019,2019,4,15,3.631618408,1.061966758,0,0,0,0,0,0,3.86804,4.693585165
ppg20_0,21-04-2019,2019,4,16,12.92421704,1.061966758,0.505581472,0,0,0,1.482809721,0,17.83914,15.97457499
ppg20_0,28-04-2019,2019,4,17,3.191282253,1.061966758,0,0,0,0,0,0,3.44234,4.253249011
ppg20_0,05-05-2019,2019,5,18,6.147496696,1.061966758,0.505581472,0,0,0,0,0.61154999,7.44304,8.326594915
ppg20_0,12-05-2019,2019,5,19,2.786986224,1.061966758,0,0,0,0,0,0,2.70798,3.848952982
ppg20_0,19-05-2019,2019,5,20,7.570639138,1.061966758,0.505581472,0,0,0,0,0.61154999,9.64986,9.749737357
ppg20_0,26-05-2019,2019,5,21,2.835298712,1.061966758,0,0,0,0,0,0,2.91256,3.89726547
ppg20_0,02-06-2019,2019,6,22,14.97781773,1.061966758,0.505581472,0,0,0,1.482809721,0,19.67614,18.02817569
ppg20_0,09-06-2019,2019,6,23,5.400732066,1.061966758,0,0,0,0,0,0,6.38044,6.462698824
ppg20_0,16-06-2019,2019,6,24,7.055916691,1.061966758,0.505581472,0,0,0,0,0.61154999,9.27784,9.23501491
ppg20_0,23-06-2019,2019,6,25,2.872265569,1.061966758,0,0,0,0,0,0,3.47886,3.934232327
ppg20_0,30-06-2019,2019,6,26,6.851704872,1.061966758,0,0,0,0,0,0,9.22284,7.91367163
ppg20_0,07-07-2019,2019,7,27,9.620003224,1.061966758,0.505581472,0,0,2.351286039,0,0,13.08626,13.53883749
ppg20_0,14-07-2019,2019,7,28,3.801595797,1.061966758,0,0,0,0,0,0,5.16912,4.863562555
ppg20_0,21-07-2019,2019,7,29,3.594078971,1.061966758,0,0,0,0,0,0,5.04768,4.656045729
ppg20_0,28-07-2019,2019,7,30,16.43762753,1.061966758,0.505581472,0,6.3136413,0,0,0,27.63904,24.31881706
ppg20_0,04-08-2019,2019,8,31,3.620860087,1.061966758,0,0,0,0,0,0,5.00544,4.682826845
ppg20_0,11-08-2019,2019,8,32,10.52556662,1.061966758,0,0,0,0,0,0,14.66168,11.58753338
ppg20_0,18-08-2019,2019,8,33,6.32552476,1.061966758,0,0,0,0,0,0,8.70298,7.387491518
ppg20_0,25-08-2019,2019,8,34,7.960715899,1.061966758,0,0.497560384,0,0,0,0.61154999,11.25916,10.13179303
ppg20_0,01-09-2019,2019,9,35,3.584823505,1.061966758,0,0,0,0,0,0,5.2987,4.646790263
ppg20_0,08-09-2019,2019,9,36,14.62446657,1.061966758,0.505581472,0,6.3136413,0,0,0,25.8577,22.5056561
ppg20_0,15-09-2019,2019,9,37,3.30542049,1.061966758,0,0,0,0,0,0,4.36304,4.367387248
ppg20_0,22-09-2019,2019,9,38,6.582199768,1.061966758,0,0,0,0,0,0,8.93772,7.644166526
ppg20_0,29-09-2019,2019,9,39,10.88230856,1.061966758,0,0,0,0,0,0,9.80694,11.94427532
ppg20_0,06-10-2019,2019,10,40,5.938896286,1.061966758,0,0,0,0,0,0,3.88498,7.000863043
ppg20_0,13-10-2019,2019,10,41,5.527685261,1.061966758,0,0,0,0,0,0,3.21926,6.589652019
ppg20_0,20-10-2019,2019,10,42,10.45600698,1.061966758,0.505581472,0,6.3136413,0,0,0,23.06326,18.33719651
ppg20_0,27-10-2019,2019,10,43,11.76486773,1.061966758,0.505581472,0,6.3136413,0,0,0,19.07708,19.64605726
ppg20_0,03-11-2019,2019,11,44,8.551366292,1.061966758,0,0.497560384,6.3136413,0,0,0,11.2926,16.42453473
ppg20_0,10-11-2019,2019,11,45,3.867925158,1.061966758,0,0,0,0,0,0,3.55014,4.929891916
ppg20_0,17-11-2019,2019,11,46,8.054994702,1.061966758,0,0,0,0,0,0,9.5568,9.11696146
ppg20_0,24-11-2019,2019,11,47,2.531960013,1.061966758,0,0,0,0,0,0,3.14886,3.593926771
ppg20_0,01-12-2019,2019,12,48,5.616754378,1.061966758,0,0,0,0,0,0,7.23052,6.678721135
ppg20_0,08-12-2019,2019,12,49,3.407955714,1.061966758,0,0,0,0,0,0,5.68898,4.469922472
ppg20_0,15-12-2019,2019,12,50,5.007657455,1.061966758,0,0,0,0,0,0,9.84962,6.069624213
ppg20_0,22-12-2019,2019,12,51,9.297139845,1.061966758,0.505581472,0,0,2.351286039,0,0,15.9863,13.21597411
ppg20_0,29-12-2019,2019,12,52,6.375754189,1.061966758,0.505581472,0,0,2.351286039,0,0,9.58958,10.29458846
ppg20_0,05-01-2020,2020,1,1,3.96554974,1.061966758,0,0,0,0,0,0,4.97332,5.027516498
ppg20_0,12-01-2020,2020,1,2,15.85398964,1.061966758,0.505581472,0,6.3136413,0,0,0,16.17176,23.73517917
ppg20_0,19-01-2020,2020,1,3,6.556696475,1.061966758,0,0,0,0,0,0,6.54654,7.618663233
ppg20_0,26-01-2020,2020,1,4,8.142422567,1.061966758,0.505581472,0,0,0,1.482809721,0,8.2753,11.19278052
ppg20_0,02-02-2020,2020,2,5,2.463908052,1.061966758,0,0,0,0,0,0,3.0954,3.525874809
ppg20_0,09-02-2020,2020,2,6,11.09175098,1.061966758,0,0,0,0,0,0,10.66802,12.15371774
ppg20_0,16-02-2020,2020,2,7,4.581203532,1.061966758,0,0,0,0,0,0,4.98608,5.64317029
ppg20_0,23-02-2020,2020,2,8,6.186235023,1.061966758,0,0,0,0,0,0,7.09896,7.248201781
ppg20_0,01-03-2020,2020,3,9,2.017868652,1.061966758,0,0,0,0,0,0,2.35884,3.07983541
ppg20_0,08-03-2020,2020,3,10,6.191889685,1.061966758,0.505581472,0,0,0,0,0.61154999,6.87566,8.370987904
ppg20_0,15-03-2020,2020,3,11,4.934424279,1.061966758,0,0,0,0,0,0,7.17948,5.996391037
ppg20_0,22-03-2020,2020,3,12,7.211076268,1.061966758,0.505581472,0,0,0,0,0.61154999,9.69056,9.390174487
ppg20_0,29-03-2020,2020,3,13,5.869647435,1.061966758,0,0,0,0,0,0,9.12362,6.931614193
ppg20_0,05-04-2020,2020,4,14,7.979544484,1.061966758,0,0,0,0,0,0,12.77892,9.041511242
ppg20_0,12-04-2020,2020,4,15,3.631618408,1.061966758,0,0,0,0,0,0,5.45336,4.693585165
ppg20_0,19-04-2020,2020,4,16,12.92421704,1.061966758,0.505581472,0,0,0,0,0.61154999,15.83868,15.10331526
ppg20_0,26-04-2020,2020,4,17,3.191282253,1.061966758,0,0,0,0,0,0,4.7542,4.253249011
ppg20_0,03-05-2020,2020,5,18,6.147496696,1.061966758,0,0,0,0,0,0,8.4469,7.209463454
ppg20_0,10-05-2020,2020,5,19,2.786986224,1.061966758,0,0,0,0,0,0,4.4132,3.848952982
ppg20_0,17-05-2020,2020,5,20,7.570639138,1.061966758,0.505581472,0,0,0,0,0.61154999,9.97854,9.749737357
ppg20_0,24-05-2020,2020,5,21,2.835298712,1.061966758,0,0,0,0,0,0,4.3516,3.89726547
ppg20_0,31-05-2020,2020,5,22,14.97781773,1.061966758,0.505581472,0,0,2.351286039,0,0,19.22932,18.896652
ppg20_0,07-06-2020,2020,6,23,5.400732066,1.061966758,0,0.497560384,0,0,0,0.61154999,7.55964,7.571809198
ppg20_0,14-06-2020,2020,6,24,7.055916691,1.061966758,0,0,0,0,0,0,9.05124,8.117883449
ppg20_0,21-06-2020,2020,6,25,2.872265569,1.061966758,0,0,0,0,0,0,3.94548,3.934232327
ppg20_0,28-06-2020,2020,6,26,6.851704872,1.061966758,0,0.497560384,0,0,0,0.61154999,8.60222,9.022782003
ppg20_0,05-07-2020,2020,7,27,9.620003224,1.061966758,0.505581472,0,0,0,1.482809721,0,11.95766,12.67036117
ppg20_0,12-07-2020,2020,7,28,3.801595797,1.061966758,0,0,0,0,0,0,4.72736,4.863562555
ppg20_0,19-07-2020,2020,7,29,3.594078971,1.061966758,0,0,0,0,0,0,4.3285,4.656045729
ppg20_0,26-07-2020,2020,7,30,16.43762753,1.061966758,0.505581472,0,0,2.351286039,0,0,15.80744,20.35646179
ppg20_0,02-08-2020,2020,8,31,3.620860087,1.061966758,0,0,0,0,0,0,4.83692,4.682826845
ppg20_0,09-08-2020,2020,8,32,10.52556662,1.061966758,0.505581472,0,0,2.351286039,0,0,13.4101,14.44440089
ppg20_0,16-08-2020,2020,8,33,6.32552476,1.061966758,0,0,0,0,0,0,8.35098,7.387491518
ppg20_0,23-08-2020,2020,8,34,7.960715899,1.061966758,0,0,0,0,0,0,10.72214,9.022682657
ppg20_0,30-08-2020,2020,8,35,3.584823505,1.061966758,0,0,0,0,0,0,4.49394,4.646790263
ppg20_0,06-09-2020,2020,9,36,14.62446657,1.061966758,0,0,0,0,0,0,14.4551,15.68643333
ppg20_0,13-09-2020,2020,9,37,3.30542049,1.061966758,0,0,0,0,0,0,4.3637,4.367387248
ppg20_0,20-09-2020,2020,9,38,6.582199768,1.061966758,0,0,0,0,0,0,8.02252,7.644166526
ppg20_0,27-09-2020,2020,9,39,10.88230856,1.061966758,0,0,0,0,0,0,11.0187,11.94427532
