PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 3_Wtd.Selling.Dist,Retailer 0_Promo.Group 6_promo_catalogue,Vol.Sales,Vol.Sales_pred
ppg20_1,05-08-2018,2018,8,31,4.180618254,-5.62511652,0,3.457694699,4.622163461,0,0,0,0,5.085924096,1.046015047,8.20194,12.76729904
ppg20_1,12-08-2018,2018,8,32,10.47432985,-5.62511652,0,0,0,0,0,0,0,5.089733063,0,4.81414,9.938946391
ppg20_1,19-08-2018,2018,8,33,3.724334352,-5.62511652,0,0,0,0,0,0,0,5.084971854,0,4.40646,3.184189685
ppg20_1,26-08-2018,2018,8,34,9.597073016,-5.62511652,3.917583477,0,0,4.017959144,0,0,3.917583477,5.085924096,0,19.58976,20.91100669
ppg20_1,02-09-2018,2018,9,35,3.499022906,-5.62511652,0,3.457694699,0,0,0,0,0,5.097350999,1.046015047,7.73358,7.47496713
ppg20_1,09-09-2018,2018,9,36,10.77447204,-5.62511652,3.917583477,0,0,0,1.221858626,0,3.917583477,5.108777902,0,17.80672,19.315159
ppg20_1,16-09-2018,2018,9,37,7.948176332,-5.62511652,0,3.457694699,0,0,0,0,0,5.109730144,1.046015047,7.58434,11.9364997
ppg20_1,23-09-2018,2018,9,38,6.93474816,-5.62511652,3.917583477,0,0,4.017959144,0,0,3.917583477,5.098303241,0,11.87648,18.26106098
ppg20_1,30-09-2018,2018,9,39,3.805998838,-5.62511652,0,0,0,0,0,0,0,5.000222323,0,4.95288,3.181104641
ppg20_1,07-10-2018,2018,10,40,11.97570002,-5.62511652,3.917583477,0,4.622163461,0,0,0,3.917583477,4.70597957,1.046015047,31.86698,24.55990853
ppg20_1,14-10-2018,2018,10,41,10.08233388,-5.62511652,0,3.457694699,0,0,0,0.231425618,0,4.587901571,0,12.84952,12.73423925
ppg20_1,21-10-2018,2018,10,42,5.875070102,-5.62511652,3.917583477,0,4.622163461,0,0,0,3.917583477,4.519340153,1.046015047,14.7774,18.2726392
ppg20_1,28-10-2018,2018,10,43,7.40843827,-5.62511652,3.917583477,0,4.622163461,0,0,0,3.917583477,4.345079882,1.046015047,16.8221,19.63174709
ppg20_1,04-11-2018,2018,11,44,5.471446313,-5.62511652,0,0,0,0,0,0,0,4.280327431,0,7.67204,4.126657224
ppg20_1,11-11-2018,2018,11,45,5.578828716,-5.62511652,3.917583477,0,4.622163461,0,0,0,3.917583477,4.22033619,0,12.84512,16.6313788
ppg20_1,18-11-2018,2018,11,46,2.192332108,-5.62511652,0,0,0,0,0,0,0,4.185103239,1.046015047,3.75978,1.798333874
ppg20_1,25-11-2018,2018,11,47,6.454576639,-5.62511652,0,3.457694699,0,0,0,0,0,4.148918046,1.046015047,15.71648,9.482087911
ppg20_1,02-12-2018,2018,12,48,3.402383241,-5.62511652,3.917583477,0,0,0,0,0,3.917583477,4.138443385,0,8.27404,9.75087706
ppg20_1,09-12-2018,2018,12,49,5.743556628,-5.62511652,3.917583477,0,4.622163461,0,0,0,3.917583477,4.138443385,0,12.07202,16.71421391
ppg20_1,16-12-2018,2018,12,50,3.80471524,-5.62511652,0,3.457694699,0,0,0,0.231425618,0,4.139395627,1.046015047,9.48032,7.05412971
ppg20_1,23-12-2018,2018,12,51,5.536340343,-5.62511652,0,3.457694699,0,0,0,0,0,4.147965804,0,9.6701,7.516884326
ppg20_1,30-12-2018,2018,12,52,3.752355694,-5.62511652,0,3.457694699,0,0,0,0,0,4.118446305,0,7.08422,5.703380178
ppg20_1,06-01-2019,2019,1,1,2.102306,-5.62511652,0,0,0,0,0,0,0,4.120350789,1.046015047,4.08254,1.643555315
ppg20_1,13-01-2019,2019,1,2,2.124636493,-5.62511652,0,0,0,0,0,0,0,4.123207514,0,4.20992,0.622727487
ppg20_1,20-01-2019,2019,1,3,10.52804855,-5.62511652,3.917583477,0,0,4.017959144,0,0,3.917583477,4.099401466,1.046015047,32.00206,21.90147464
ppg20_1,27-01-2019,2019,1,4,8.523113984,-5.62511652,0,3.457694699,0,0,0,0,0,4.116541821,0,11.55414,10.47223398
ppg20_1,03-02-2019,2019,2,5,2.906032306,-5.62511652,0,0,0,0,0,0,0,4.129873208,1.046015047,4.38614,2.456804041
ppg20_1,10-02-2019,2019,2,6,5.344898675,-5.62511652,3.917583477,0,0,0,1.221858626,0,3.917583477,4.127016482,1.046015047,10.84798,13.94983926
ppg20_1,17-02-2019,2019,2,7,2.228621916,-5.62511652,0,0,0,0,0,0,0,4.132729934,0,4.51682,0.736235329
ppg20_1,24-02-2019,2019,2,8,4.259435206,-5.62511652,3.917583477,0,0,0,0,0.231425618,3.917583477,4.128920966,0,10.9641,10.82983222
ppg20_1,03-03-2019,2019,3,9,4.297730422,-5.62511652,0,0,0,0,0,0,0,4.129873208,1.046015047,4.71108,3.848502157
ppg20_1,10-03-2019,2019,3,10,6.638432969,-5.62511652,0,0,0,0,0,0,0,4.133682176,0,6.63938,5.146998625
ppg20_1,17-03-2019,2019,3,11,16.15707176,-5.62511652,3.917583477,0,4.622163461,0,0,0,3.917583477,4.173676336,1.046015047,20.07366,28.20897704
ppg20_1,24-03-2019,2019,3,12,5.700172683,-5.62511652,0,3.457694699,0,0,0,0.231425618,0,4.190816691,0,9.5625,7.95499317
ppg20_1,31-03-2019,2019,3,13,3.296355814,-5.62511652,0,0,0,0,0,0,0,4.215574981,1.046015047,3.663,2.932829321
ppg20_1,07-04-2019,2019,4,14,4.539667423,-5.62511652,0,0,0,0,0,0,0,4.221288432,0,3.68038,3.135839335
ppg20_1,14-04-2019,2019,4,15,5.611300527,-5.62511652,3.917583477,0,0,4.017959144,0,0,3.917583477,4.231763093,0,12.57322,16.0710732
ppg20_1,21-04-2019,2019,4,16,2.588023942,-5.62511652,0,0,0,0,0,0,0,4.24985569,0,3.48568,1.212763112
ppg20_1,28-04-2019,2019,4,17,6.360968206,-5.62511652,0,3.457694699,0,0,0,0,0,4.251760174,1.046015047,10.03924,9.491321605
ppg20_1,05-05-2019,2019,5,18,5.136606596,-5.62511652,0,0,0,0,0,0,0,4.272709496,0,3.24016,3.784199572
ppg20_1,12-05-2019,2019,5,19,7.053152046,-5.62511652,3.917583477,0,0,0,0,0,3.917583477,4.285088641,1.046015047,18.21336,14.59430617
ppg20_1,19-05-2019,2019,5,20,10.38010331,-5.62511652,0,3.457694699,0,4.017959144,0,0,0,4.372694897,0,7.97478,16.60333553
ppg20_1,26-05-2019,2019,5,21,5.854177044,-5.62511652,0,0,0,0,0,0,0,4.526005847,1.046015047,3.74682,5.801081417
ppg20_1,02-06-2019,2019,6,22,5.950790958,-5.62511652,0,3.457694699,0,0,0,0.231425618,0,4.534576024,0,10.33736,8.549370779
ppg20_1,09-06-2019,2019,6,23,4.068740115,-5.62511652,0,0,0,0,0,0,0,4.500295315,1.046015047,3.7884,3.989933956
ppg20_1,16-06-2019,2019,6,24,5.666313476,-5.62511652,3.917583477,0,0,0,0,0.231425618,3.917583477,4.464110122,0,9.9682,12.57189965
ppg20_1,23-06-2019,2019,6,25,3.653339789,-5.62511652,0,0,0,0,0,0,0,4.454587703,0,3.27272,2.482810971
ppg20_1,30-06-2019,2019,6,26,7.236598547,-5.62511652,3.917583477,0,0,0,0,0.231425618,3.917583477,5.238282803,0,13.17162,14.9163574
