PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 3_Wtd.Selling.Dist,Retailer 0_Promo.Group 5_promo_catalogue,Wtd.Selling.Dist,Vol.Sales,Vol.Sales_pred
ppg22_0,05-08-2018,2018,8,31,0.217564969,-2.219958707,0,0,0,0,0,0,1.425587753,0,0,0,-0.576805985
ppg22_0,12-08-2018,2018,8,32,0.125031046,-2.219958707,0,0,0,0,0,0,1.426655409,0,0,0,-0.668272252
ppg22_0,19-08-2018,2018,8,33,0.124685527,-2.219958707,0,0,0,0,0,0,1.425320839,0,0.080832591,0.01404,-0.58911975
ppg22_0,26-08-2018,2018,8,34,0.155525895,-2.219958707,0,0.243499996,0,0,0,0,1.425587753,0,0.833197477,0.32552,0.437852413
ppg22_0,02-09-2018,2018,9,35,0.221409798,-2.219958707,0,0.243499996,0,0,0,0,1.428790721,0,1.523383447,1.05352,1.197125255
ppg22_0,09-09-2018,2018,9,36,0.176948305,-2.219958707,0,0.243499996,0,0,0,0,1.431993689,0,2.362798815,1.30416,1.995282098
ppg22_0,16-09-2018,2018,9,37,0.313089809,-2.219958707,0,0.243499996,0,0,0,0,1.432260603,0,2.922409061,2.72376,2.691300761
ppg22_0,23-09-2018,2018,9,38,0.354498568,-2.219958707,0,0.243499996,0,0,0,0,1.429057635,0,2.981479031,3.45592,2.788576523
ppg22_0,30-09-2018,2018,9,39,0.325984046,-2.219958707,0,0.243499996,0,0,0,0,1.401565492,0,3.018786381,2.69724,2.769877207
ppg22_0,07-10-2018,2018,10,40,0.704916105,-2.219958707,0,0.243499996,0,0,0,0,1.319089061,0,3.068529514,3.43044,3.116075969
ppg22_0,14-10-2018,2018,10,41,0.779754284,-2.219958707,0,0.243499996,0,0,0,0,1.285991723,0,3.077856351,2.94944,3.167143647
ppg22_0,21-10-2018,2018,10,42,0.568619005,-2.219958707,0,0.243499996,0,0,0,0,1.266773914,0,3.077856351,3.42264,2.936790559
ppg22_0,28-10-2018,2018,10,43,0.556356304,-2.219958707,0,0.243499996,0,0,0,0,1.21792865,0,3.077856351,3.23908,2.875682594
ppg22_0,04-11-2018,2018,11,44,0.607050107,-2.219958707,0,0.243499996,0,0,0,0,1.199778497,0,3.074747405,2.81944,2.905117297
ppg22_0,11-11-2018,2018,11,45,0.52976808,-2.219958707,0,0.243499996,0,0,0,0,1.182962914,0,3.074747405,2.2646,2.811019687
ppg22_0,18-11-2018,2018,11,46,0.410370449,-2.219958707,0,0.243499996,0,0,0,0,1.173087095,0,3.074747405,2.18192,2.681746238
ppg22_0,25-11-2018,2018,11,47,0.485514215,-2.219958707,0,0.243499996,0,0,0,0,1.162944363,0,3.07163846,2.64628,2.743638325
ppg22_0,02-12-2018,2018,12,48,0.427326469,-2.219958707,0,0.243499996,0,0,0,0,1.160008308,0,3.059202676,2.33636,2.670078742
ppg22_0,09-12-2018,2018,12,49,0.550744812,-2.219958707,0,0.243499996,0,0,0,0,1.160008308,0,3.03433111,3.18864,2.768625519
ppg22_0,16-12-2018,2018,12,50,0.583259947,-2.219958707,0,0.243499996,0,0,0,0,1.160275222,0,3.012568489,3.37688,2.779644947
ppg22_0,23-12-2018,2018,12,51,0.528385292,-2.219958707,0,0.243499996,0,0,0,0,1.162677448,0,2.978370085,2.86728,2.692974114
ppg22_0,30-12-2018,2018,12,52,0.387791508,-2.219958707,0,0.243499996,0,0,0,0,1.154403114,0,2.972152194,2.28332,2.537888104
ppg22_0,06-01-2019,2019,1,1,0.851386052,-2.219958707,0,0,0,0,0,0,1.154936942,0,2.965934302,2.24224,2.752298589
ppg22_0,13-01-2019,2019,1,2,0.496915577,-2.219958707,0,0,0,0,0,0,1.155737684,0,2.956607465,1.49032,2.389302018
ppg22_0,20-01-2019,2019,1,3,0.9176284,-2.219958707,0,0,0,0,0,0,1.149064834,0,2.975261139,2.37536,2.821995666
ppg22_0,27-01-2019,2019,1,4,0.731376974,-2.219958707,0,0,0,0,0,0,1.153869286,0,2.972152194,1.95884,2.637439747
ppg22_0,03-02-2019,2019,2,5,0.860965246,-2.219958707,0,0,0,0,0,0,1.157606082,0,2.969043248,2.40604,2.767655869
ppg22_0,10-02-2019,2019,2,6,0.509046099,-2.219958707,0,0,0,0,0,0,1.15680534,0,2.953498519,1.48252,2.399391251
ppg22_0,17-02-2019,2019,2,7,0.888798715,-2.219958707,0,0,0,0,0,0,1.158406824,0,2.934844844,2.47104,2.762091677
ppg22_0,24-02-2019,2019,2,8,0.740829565,-2.219958707,0,0,0,0,0,0,1.157339168,0,2.941062736,2.10236,2.619272762
ppg22_0,03-03-2019,2019,3,9,1.298819298,-2.219958707,0,0,0,0,0,0,1.157606082,0,2.947280627,2.847,3.1837473
ppg22_0,10-03-2019,2019,3,10,0.744139674,-2.219958707,0,0,0,0,0,0,1.158673738,0,2.950389573,2.12576,2.633244278
ppg22_0,17-03-2019,2019,3,11,0.900698168,-2.219958707,0,0,0,0,0,0,1.169884127,0,2.953498519,2.48352,2.804122106
ppg22_0,24-03-2019,2019,3,12,0.560613256,-2.219958707,0,0,0,0,0,0,1.174688579,0,2.947280627,2.17464,2.462623756
ppg22_0,31-03-2019,2019,3,13,0.324539415,-2.219958707,0,0,0,0,0,0,1.181628344,0,2.931735898,2.51732,2.21794495
ppg22_0,07-04-2019,2019,4,14,0.179092256,-2.219958707,0,0,0,0,0,0,1.183229828,0,2.93795379,2.32492,2.080317166
ppg22_0,14-04-2019,2019,4,15,0.254516687,-2.219958707,0,0,0,0,0,0,1.186165882,0,2.950389573,3.70656,2.171113435
ppg22_0,21-04-2019,2019,4,16,0.101988077,-2.219958707,0,0,0,0,0,0,1.191237248,0,2.947280627,1.50228,2.020547245
ppg22_0,28-04-2019,2019,4,17,0.18922739,-2.219958707,0,0,0,0,0,0,1.191771076,0,2.93795379,2.8236,2.098993549
ppg22_0,05-05-2019,2019,5,18,0.146928983,-2.219958707,0,0,0,0,0,0,1.197643184,0,2.947280627,2.23184,2.071894088
ppg22_0,12-05-2019,2019,5,19,0.162867421,-2.219958707,0,0,0,0,0,0,1.201113067,0,2.950389573,2.48976,2.094411354
ppg22_0,19-05-2019,2019,5,20,0.1386721,-2.219958707,0,0,0,0,0,0,1.225669156,0,2.956607465,2.08104,2.100990014
ppg22_0,26-05-2019,2019,5,21,0.233741705,-2.219958707,0,0,0,0,0,0,1.268642312,0,2.950389573,3.5906,2.232814884
ppg22_0,02-06-2019,2019,6,22,0.100005925,-2.219958707,0,0,0,0,0,0,1.271044539,0,2.953498519,1.5158,2.104590276
ppg22_0,09-06-2019,2019,6,23,0.157451575,-2.219958707,0,0,0,0,0,0,1.261435634,0,2.953498519,2.41748,2.152427021
ppg22_0,16-06-2019,2019,6,24,0.136898046,-2.219958707,0,0,0,0,0,0,1.251292901,0,2.956607465,2.08676,2.124839705
ppg22_0,23-06-2019,2019,6,25,0.397107711,-2.219958707,0.721734131,0,0,0,0,0.721734131,1.248623761,2.277402563,2.95971641,6.10636,6.10636
ppg22_0,30-06-2019,2019,6,26,0.276619354,-2.219958707,0,0,0,0,0,0,1.468293995,0,2.95971641,4.2536,2.484671053
ppg22_0,07-07-2019,2019,7,27,0.202764016,-2.219958707,0,0,0,0,0,0,1.754692733,0,2.95971641,3.11792,2.697214452
ppg22_0,14-07-2019,2019,7,28,0.239691685,-2.219958707,0,0,0,0,0,0,1.761899412,0,2.962825356,3.68576,2.744457746
ppg22_0,21-07-2019,2019,7,29,0.221363117,-2.219958707,0,0,0,0,0,0,1.764301638,0,2.972152194,3.40392,2.737858241
ppg22_0,28-07-2019,2019,7,30,0.136585033,-2.219958707,0,0,0,0,0,0,1.757094959,0,2.972152194,2.10028,2.645873479
ppg22_0,04-08-2019,2019,8,31,0.217564969,-2.219958707,0,0,0,0,0,0,1.766170036,2.277402563,2.975261139,5.01644,5.01644
ppg22_0,11-08-2019,2019,8,32,0.125031046,-2.219958707,0,0,0,0,0,0,1.768839176,0,2.975261139,2.88392,2.649172655
ppg22_0,18-08-2019,2019,8,33,0.124685527,-2.219958707,0,0,0,0,0,0,1.79633132,0,2.975261139,2.85584,2.676319279
ppg22_0,25-08-2019,2019,8,34,0.155525895,-2.219958707,0,0,0,0,0,0,2.061910764,0,2.969043248,3.12104,2.9665212
ppg22_0,01-09-2019,2019,9,35,0.221409798,-2.219958707,0,0,0,0,0,0,2.20791273,0,2.965934302,3.5906,3.175298124
ppg22_0,08-09-2019,2019,9,36,0.176948305,-2.219958707,0,0,0,0,0,0,2.140383485,0,2.965934302,2.21156,3.063307385
ppg22_0,15-09-2019,2019,9,37,0.313089809,-2.219958707,0,0,0,0,0,0,2.114492825,0,2.972152194,3.3202,3.179776121
