PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 3_Wtd.Selling.Dist,Retailer 1_Promo.Group 19_display_bronze,Retailer 1_Promo.Group 20_promo_ins,Vol.Sales,Vol.Sales_pred
ppg22_1,05-08-2018,2018,8,31,1.473605096,0.18194141,0,0,0,0,0,0,0,0.969428677,0,-0.516419275,0,2.108555908
ppg22_1,12-08-2018,2018,8,32,0.8982443,0.18194141,0,0,0,0,0,0,0,0.970154705,0,0,0,2.050340414
ppg22_1,19-08-2018,2018,8,33,1.412466358,0.18194141,0,0,0,0,0,0,0,0.96924717,-0.462990596,0,0,2.100664342
ppg22_1,26-08-2018,2018,8,34,1.700972611,0.18194141,0,0,0,0,0,0,-0.820424745,0.969428677,-0.462990596,0,0,1.568927357
ppg22_1,02-09-2018,2018,9,35,1.518417609,0.18194141,0,0,0,0,0,0,0,0.97160676,0,-0.516419275,0,2.155546505
ppg22_1,09-09-2018,2018,9,36,1.099723349,0.18194141,0,0,0,0.106913745,0,0,-0.820424745,0.973784844,0,0,0.04212,1.541938603
ppg22_1,16-09-2018,2018,9,37,1.989837108,0.18194141,0,0,0,0,0,0,0,0.973966351,0,-0.516419275,0.75036,2.629325594
ppg22_1,23-09-2018,2018,9,38,2.461446022,0.18194141,0,0,0,0,0,0,-0.820424745,0.971788267,0,0,2.85324,2.794750954
ppg22_1,30-09-2018,2018,9,39,3.475680139,0.18194141,0,0,0,0,0,0,0,0.95309305,0,0,5.49224,4.610714599
ppg22_1,07-10-2018,2018,10,40,3.191584346,0.18194141,0,0,0,0,0,0,-0.820424745,0.897007399,0,0,2.73884,3.45010841
ppg22_1,14-10-2018,2018,10,41,2.280742517,0.18194141,0,0,0,0,0,0,0,0.874500536,0,-0.516419275,3.38364,2.820765189
ppg22_1,21-10-2018,2018,10,42,2.659583227,0.18194141,0,0,0,0,0,0.686470679,-0.820424745,0.861432035,0,0,3.43512,3.569002606
ppg22_1,28-10-2018,2018,10,43,2.745063243,0.18194141,0,0,0,0,0,0.686470679,-0.820424745,0.828216261,0,0,3.7024,3.621266848
ppg22_1,04-11-2018,2018,11,44,3.112740465,0.18194141,0,0,0,0,0,0.686470679,0,0.815873788,-0.462990596,0,4.37684,4.334035747
ppg22_1,11-11-2018,2018,11,45,2.320362636,0.18194141,0,0,0,0,0,0,-0.820424745,0.80443885,-0.462990596,0,3.04772,2.023327555
ppg22_1,18-11-2018,2018,11,46,2.932329811,0.18194141,0,0,0,0,0,0,0,0.797723092,0,0,3.89844,3.911994312
ppg22_1,25-11-2018,2018,11,47,2.058254109,0.18194141,0,0,0,0,0,0,0,0.790825828,0,-0.516419275,2.28124,2.514602072
ppg22_1,02-12-2018,2018,12,48,3.831082227,0.18194141,0,0,0,0,0,0,-0.820424745,0.788829251,0,0,3.59008,3.981428143
ppg22_1,09-12-2018,2018,12,49,2.642383669,0.18194141,0,0,0,0,0,0,-0.820424745,0.788829251,0,0,3.37064,2.792729585
ppg22_1,16-12-2018,2018,12,50,3.242632809,0.18194141,0,0,0,0,0,0,0,0.789010758,0,-0.516419275,3.9936,3.697165702
ppg22_1,23-12-2018,2018,12,51,3.206496555,0.18194141,0,0,0,0,0,0,0,0.790644321,0,-0.516419275,4.04664,3.662663011
ppg22_1,30-12-2018,2018,12,52,2.444287474,0.18194141,0,0,0,0,0,0,0,0.785017605,0,-0.516419275,3.41848,2.894827214
ppg22_1,06-01-2019,2019,1,1,2.799129835,0.18194141,0,0,0,0,0,0,0,0.785380619,0,0,4.12984,3.766451863
ppg22_1,13-01-2019,2019,1,2,2.787945781,0.18194141,0,0,0,0.106913745,0,0,0,0.78592514,0,0,4.14544,3.862726075
ppg22_1,20-01-2019,2019,1,3,1.951259085,0.18194141,0,0,0,0,0.668971273,0,-0.820424745,0.781387466,0,0,2.24068,2.763134488
ppg22_1,27-01-2019,2019,1,4,1.704295779,0.18194141,0,0,0,0,0.668971273,0,0,0.784654591,0,-0.516419275,3.05656,2.823443778
ppg22_1,03-02-2019,2019,2,5,1.788577924,0.18194141,0,0,0,0,0,0,0,0.787195688,0,0,3.20528,2.757715022
ppg22_1,10-02-2019,2019,2,6,1.77543822,0.18194141,0,0,0,0,0,0,-0.820424745,0.786651167,0,0,2.8548,1.923606052
ppg22_1,17-02-2019,2019,2,7,2.395773647,0.18194141,0,0,0,0,0,0,0,0.787740209,0,0,3.7778,3.365455266
ppg22_1,24-02-2019,2019,2,8,1.870239803,0.18194141,0,0,0,0,0,0,-0.820424745,0.787014181,0,0,2.55684,2.01877065
ppg22_1,03-03-2019,2019,3,9,1.770432969,0.18194141,0,0,0,0,0,0,0,0.787195688,0,0,3.03264,2.739570067
ppg22_1,10-03-2019,2019,3,10,1.964132101,0.18194141,0,0,0,0,0,0,0,0.787921716,0,0,3.33164,2.933995227
ppg22_1,17-03-2019,2019,3,11,1.483750433,0.18194141,0,0,0,0,0,0,-0.820424745,0.795545008,0,0,2.09144,1.640812107
ppg22_1,24-03-2019,2019,3,12,2.110254891,0.18194141,0,0,0,0,0,0.686470679,0,0.798812134,0,-0.516419275,2.75132,3.261059839
ppg22_1,31-03-2019,2019,3,13,2.605465899,0.18194141,0,0,0,0,0,0.686470679,0,0.803531315,-0.462990596,0,3.81264,3.814418707
ppg22_1,07-04-2019,2019,4,14,2.185444197,0.18194141,0,0,0,0,0,0.686470679,0,0.804620357,-0.462990596,0,3.8142,3.395486047
ppg22_1,14-04-2019,2019,4,15,2.088146412,0.18194141,0,0,0,0,0,0.686470679,-0.820424745,0.806616933,-0.462990596,0,2.9926,2.479760093
ppg22_1,21-04-2019,2019,4,16,2.13549102,0.18194141,0,0,0,0,0,0,0,0.810065565,0,0,3.13092,3.127497995
ppg22_1,28-04-2019,2019,4,17,1.636301862,0.18194141,0,0,0,0,0,0,0,0.810428579,0,-0.516419275,2.405,2.112252577
ppg22_1,05-05-2019,2019,5,18,1.840705451,0.18194141,0,0,0,0,0,0,0,0.814421732,0,0,3.10856,2.837068593
