PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Vol.Sales,Vol.Sales_pred
ppg5_1,05-08-2018,2018,8,31,25.11766448,-2.031572836,7.378339706,0,0,1.625382771,0,0,0,0,29.80588,32.08981412
ppg5_1,12-08-2018,2018,8,32,19.89847716,-2.031572836,0,0,0,0,0,0,0,0,27.10584,17.86690432
ppg5_1,19-08-2018,2018,8,33,23.92282984,-2.031572836,0,0,0,0,0,1.595534285,-1.474318329,2.704068806,27.81804,24.71654176
ppg5_1,26-08-2018,2018,8,34,23.90532544,-2.031572836,0,0,0,0,0,1.595534285,0,0,18.87818,23.46928689
ppg5_1,02-09-2018,2018,9,35,23.17538656,-2.031572836,0,0,0,0,0,0,0,0,24.74098,21.14381372
ppg5_1,09-09-2018,2018,9,36,20.26987424,-2.031572836,0,0,0,1.625382771,0,0,0,0,21.1335,19.86368417
ppg5_1,16-09-2018,2018,9,37,24.70301675,-2.031572836,0,0,0,0,0,0,0,0,22.629685,22.67144392
ppg5_1,23-09-2018,2018,9,38,23.68603148,-2.031572836,0,0,0,0,0,0,-1.474318329,2.704068806,22.26258,22.88420912
ppg5_1,30-09-2018,2018,9,39,26.00615795,-2.031572836,7.378339706,0,0,0,0,0,0,0,29.07318,31.35292482
ppg5_1,07-10-2018,2018,10,40,27.09019393,-2.031572836,0,0,0,0,0,0,-1.474318329,2.704068806,16.76646,26.28837157
ppg5_1,14-10-2018,2018,10,41,16.93219113,-2.031572836,0,0,0,0,0,0,-1.474318329,2.704068806,19.62392,16.13036877
ppg5_1,21-10-2018,2018,10,42,21.31623478,-2.031572836,0,0,0,0,0,1.595534285,0,0,19.56152,20.88019622
ppg5_1,28-10-2018,2018,10,43,27.99710966,-2.031572836,0,0,0,0,0,1.595534285,0,0,29.20424,27.56107111
ppg5_1,04-11-2018,2018,11,44,31.70615103,-2.031572836,0,0,0,0,0,1.595534285,-1.474318329,2.704068806,31.65588,32.49986296
ppg5_1,11-11-2018,2018,11,45,22.92576437,-2.031572836,0,0,0,0,0,1.595534285,-1.474318329,2.704068806,27.06846,23.7194763
ppg5_1,18-11-2018,2018,11,46,24.51413022,-2.031572836,0,0,0,0,0,0,0,0,25.52742,22.48255738
ppg5_1,25-11-2018,2018,11,47,25.65241026,-2.031572836,0,0,0,0,0,0,0,0,25.78548,23.62083742
ppg5_1,02-12-2018,2018,12,48,42.56369523,-2.031572836,0,0,0,0,0,0,0,0,33.87012,40.5321224
ppg5_1,09-12-2018,2018,12,49,30.54647118,-2.031572836,0,0,0,0,0,0,0,0,32.1595,28.51489835
ppg5_1,16-12-2018,2018,12,50,35.11885902,-2.031572836,0,0,0,0,0,0,0,0,33.42414,33.08728619
ppg5_1,23-12-2018,2018,12,51,42.01593531,-2.031572836,0,0,0,0,0,0,0,0,42.5787,39.98436247
ppg5_1,30-12-2018,2018,12,52,21.02338459,-2.031572836,0,0,0,0,0,0,0,0,27.59996,18.99181176
ppg5_1,06-01-2019,2019,1,1,29.41042076,-2.031572836,0,0,0,1.625382771,0,0,0,0,29.67928,29.0042307
ppg5_1,13-01-2019,2019,1,2,27.91694761,-2.031572836,0,0,0,1.625382771,0,0,0,0,27.65944,27.51075754
ppg5_1,20-01-2019,2019,1,3,20.72343267,-2.031572836,0,0,0,0,3.389104602,0,0,0,17.11098,22.08096444
ppg5_1,27-01-2019,2019,1,4,20.13763641,-2.031572836,0,0,0,0,3.389104602,0,0,0,22.7395,21.49516818
ppg5_1,03-02-2019,2019,2,5,21.85581103,-2.031572836,0,0,0,0,0,0,0,0,23.22096,19.82423819
ppg5_1,10-02-2019,2019,2,6,22.61414015,-2.031572836,0,0,0,0,0,0,0,0,21.49696,20.58256732
ppg5_1,17-02-2019,2019,2,7,23.75220808,-2.031572836,0,0,0,0,0,0,-1.474318329,2.704068806,22.84102,22.95038572
ppg5_1,24-02-2019,2019,2,8,20.22440147,-2.031572836,0,0,0,0,0,0,0,0,17.97274,18.19282863
ppg5_1,03-03-2019,2019,3,9,20.12255058,-2.031572836,0,0,0,0,0,0,0,0,20.75356,18.09097774
ppg5_1,10-03-2019,2019,3,10,23.91064528,-2.031572836,0,0,0,0,0,0,0,0,22.9896,21.87907244
ppg5_1,17-03-2019,2019,3,11,17.40139556,-2.031572836,0,0,0,0,0,0,0,0,15.38674,15.36982273
ppg5_1,24-03-2019,2019,3,12,22.36266785,-2.031572836,0,0,0,0,0,1.595534285,0,0,19.20572,21.9266293
ppg5_1,31-03-2019,2019,3,13,26.26362818,-2.031572836,0,0,0,0,0,1.595534285,0,0,23.08296,25.82758963
ppg5_1,07-04-2019,2019,4,14,23.6832423,-2.031572836,0,0,0,0,0,1.595534285,0,0,26.27626,23.24720375
ppg5_1,14-04-2019,2019,4,15,22.25579341,-2.031572836,0,0,0,0,0,1.595534285,0,0,20.97994,21.81975486
ppg5_1,21-04-2019,2019,4,16,22.29887482,-2.031572836,0,0,0,0,0,0,0,0,20.08348,20.26730198
ppg5_1,28-04-2019,2019,4,17,19.94037578,-2.031572836,0,0,0,0,0,0,0,0,19.0714,17.90880295
ppg5_1,05-05-2019,2019,5,18,21.42026904,-2.031572836,0,0,0,0,0,0,0,0,22.79266,19.3886962
ppg5_1,12-05-2019,2019,5,19,26.23459802,-2.031572836,0,0,0,0,0,0,0,0,14.79356,24.20302519
ppg5_1,19-05-2019,2019,5,20,19.54765468,-2.031572836,0,0,0,0,0,0,0,0,23.59028,17.51608184
ppg5_1,26-05-2019,2019,5,21,22.54284195,-2.031572836,0,0,0,0,0,0,0,0,28.051245,20.51126911
ppg5_1,02-06-2019,2019,6,22,23.77439597,-2.031572836,0,0,0,1.625382771,0,0,0,0,24.55614,23.3682059
ppg5_1,09-06-2019,2019,6,23,25.23450523,-2.031572836,0,0,0,0,0,1.595534285,0,0,27.80794,24.79846668
ppg5_1,16-06-2019,2019,6,24,21.85613858,-2.031572836,0,0,0,1.625382771,0,0,0,0,21.74122,21.44994851
ppg5_1,23-06-2019,2019,6,25,29.94563461,-2.031572836,7.378339706,0,0,0,0,1.595534285,0,0,37.77506,36.88793577
ppg5_1,30-06-2019,2019,6,26,23.48616445,-2.031572836,0,0,0,0,0,0,0,0,20.51904,21.45459162
ppg5_1,07-07-2019,2019,7,27,22.3726556,-2.031572836,0,0,0,0,0,0,0,0,17.1188,20.34108277
ppg5_1,14-07-2019,2019,7,28,22.36000899,-2.031572836,0,0,0,0,0,0,0,0,19.03658,20.32843616
ppg5_1,21-07-2019,2019,7,29,22.66430557,-2.031572836,0,0,0,0,0,1.595534285,0,0,23.3182,22.22826702
ppg5_1,28-07-2019,2019,7,30,24.74302697,-2.031572836,0,0,0,0,0,1.595534285,0,0,26.78434,24.30698842
ppg5_1,04-08-2019,2019,8,31,25.11766448,-2.031572836,0,0,0,0,0,0,0,0,22.34786,23.08609164
ppg5_1,11-08-2019,2019,8,32,19.89847716,-2.031572836,0,0,0,0,0,0,0,0,17.01534,17.86690432
ppg5_1,18-08-2019,2019,8,33,23.92282984,-2.031572836,0,0,0,0,0,0,0,0,21.61638,21.891257
ppg5_1,25-08-2019,2019,8,34,23.90532544,-2.031572836,7.378339706,0,0,0,3.389104602,0,-1.474318329,2.704068806,37.5966,33.87094739
ppg5_1,01-09-2019,2019,9,35,23.17538656,-2.031572836,0,0,0,0,0,0,0,0,23.29202,21.14381372
ppg5_1,08-09-2019,2019,9,36,20.26987424,-2.031572836,0,0,0,0,0,0,0,0,20.75396,18.2383014
ppg5_1,15-09-2019,2019,9,37,24.70301675,-2.031572836,0,0,0,0,0,0,0,0,15.62394,22.67144392
ppg5_1,22-09-2019,2019,9,38,23.68603148,-2.031572836,0,0,0,0,0,0,0,0,22.67172,21.65445865
ppg5_1,29-09-2019,2019,9,39,26.00615795,-2.031572836,0,0,0,0,0,0,0,0,24.01756,23.97458511
