PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 3_display_bronze,Vol.Sales,Vol.Sales_pred
ppg6_0,05-08-2018,2018,8,31,36.91646278,5.368911407,14.78448795,0,0,0,-1.359579326,0,0,0,55.69276,55.71028282
ppg6_0,12-08-2018,2018,8,32,10.49918528,5.368911407,0,0,0,0,0,0,0,0,15.88608,15.86809668
ppg6_0,19-08-2018,2018,8,33,16.37777307,5.368911407,0,0,0,0,0,0,0,0,13.2402,21.74668448
ppg6_0,26-08-2018,2018,8,34,9.211981642,5.368911407,0,0,0,0,0,0,0.712840769,0,14.11926,15.29373382
ppg6_0,02-09-2018,2018,9,35,39.93065372,5.368911407,14.78448795,0,0,0,-1.359579326,0,0.712840769,0,66.57092,59.43731452
ppg6_0,09-09-2018,2018,9,36,12.9590375,5.368911407,0,0,0,0,0,0,0.712840769,0,17.54664,19.04078967
ppg6_0,16-09-2018,2018,9,37,75.47729807,5.368911407,14.78448795,0,26.60608684,0,0,0,0.712840769,0,141.87044,122.949625
ppg6_0,23-09-2018,2018,9,38,18.48342554,5.368911407,0,0,0,0,0,0,0.712840769,0,21.29746,24.56517772
ppg6_0,30-09-2018,2018,9,39,13.8273853,5.368911407,0,0,0,0,0,0,0.712840769,0,19.14146,19.90913748
ppg6_0,07-10-2018,2018,10,40,38.47231135,5.368911407,14.78448795,0,0,0,0,0,0.712840769,0,59.74638,59.33855148
ppg6_0,14-10-2018,2018,10,41,9.698776365,5.368911407,0,0,0,0,0,0,0.712840769,-0.42028751,14.33896,15.36024103
ppg6_0,21-10-2018,2018,10,42,34.00206848,5.368911407,14.78448795,0,0,0,0,-4.033443768,0.712840769,0,55.82044,50.83486484
ppg6_0,28-10-2018,2018,10,43,31.00228636,5.368911407,14.78448795,0,0,0,0,-4.033443768,0.712840769,0,43.9622,47.83508272
ppg6_0,04-11-2018,2018,11,44,10.41798175,5.368911407,0,0,0,0,0,0,0.712840769,0,15.40216,16.49973392
ppg6_0,11-11-2018,2018,11,45,24.10789025,5.368911407,0,0,0,0,0,0,0.712840769,0,15.31746,30.18964242
ppg6_0,18-11-2018,2018,11,46,16.72362026,5.368911407,14.78448795,0,0,0,0,0,0.712840769,0,35.10956,37.58986039
ppg6_0,25-11-2018,2018,11,47,77.96944996,5.368911407,14.78448795,0,0,10.63273625,0,0,0.712840769,0,109.46068,109.4684263
ppg6_0,02-12-2018,2018,12,48,22.13402486,5.368911407,0,0,0,0,0,0,0.712840769,0,31.695,28.21577703
ppg6_0,09-12-2018,2018,12,49,15.13801212,5.368911407,0,0,0,0,0,0,0.712840769,0,12.50154,21.21976429
ppg6_0,16-12-2018,2018,12,50,30.93105587,5.368911407,14.78448795,0,0,0,-1.359579326,0,0.712840769,-0.42028751,51.79212,50.01742916
ppg6_0,23-12-2018,2018,12,51,19.05742313,5.368911407,0,8.302103672,0,0,0,0,0.712840769,0,36.82532,33.44127898
ppg6_0,30-12-2018,2018,12,52,12.37195331,5.368911407,0,8.302103672,0,0,0,0,0.712840769,0,25.44424,26.75580915
