PPG,Date,Year,Month,Week,Seasonal_index,const,promo_catalogue,promo_ins,display_platinum,display_gold,display_silver,display_bronze,Retailer 1_Promo.Group 22_display_bronze,Retailer 1_Promo.Group 3_display_silver,Retailer 1_Promo.Group 20_promo_catalogue,Retailer 1_Promo.Group 20_display_platinum,Vol.Sales,Vol.Sales_pred
ppg6_1,05-08-2018,2018,8,31,15.02108512,0.270173564,0,11.24914672,35.06555534,0,0,0,0,0,0,2.124462667,42.8609,63.73042341
ppg6_1,12-08-2018,2018,8,32,50.79247511,0.270173564,0,0,0,0,0,0,0,0,0,0,19.41618,51.06264867
ppg6_1,19-08-2018,2018,8,33,12.37402931,0.270173564,0,0,0,0,0,0,0,0,0,0,19.04754,12.64420287
ppg6_1,26-08-2018,2018,8,34,44.56571451,0.270173564,16.26590618,0,0,36.38164452,0,0,0,0,16.26590618,0,166.3419,113.7493449
ppg6_1,02-09-2018,2018,9,35,10.43929566,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,42.85086,21.95861595
ppg6_1,09-09-2018,2018,9,36,32.12784183,0.270173564,16.26590618,0,0,0,-0.628711745,0,0,49.61106438,16.26590618,0,159.92564,113.9121804
ppg6_1,16-09-2018,2018,9,37,24.74327819,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,38.87796,36.26259848
ppg6_1,23-09-2018,2018,9,38,24.00377863,0.270173564,16.26590618,0,0,36.38164452,0,0,0,0,16.26590618,0,75.75556,93.18740907
ppg6_1,30-09-2018,2018,9,39,7.948921386,0.270173564,0,0,0,0,0,0,0,0,0,0,21.81538,8.219094949
ppg6_1,07-10-2018,2018,10,40,35.29310187,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,164.17332,105.2851058
ppg6_1,14-10-2018,2018,10,41,42.66005082,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,50.52,66.3882223
ppg6_1,21-10-2018,2018,10,42,16.18949404,0.270173564,16.26590618,0,35.06555534,0,0,0,-2.338117835,0,16.26590618,2.124462667,65.2487,83.84338012
ppg6_1,28-10-2018,2018,10,43,23.34594925,0.270173564,16.26590618,0,0,0,0,0,-2.338117835,0,16.26590618,2.124462667,55.93428,55.93428
ppg6_1,04-11-2018,2018,11,44,19.8590031,0.270173564,0,0,0,0,0,0,-2.338117835,0,0,0,22.48092,17.79105883
ppg6_1,11-11-2018,2018,11,45,20.37022641,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,63.56228,90.36223032
ppg6_1,18-11-2018,2018,11,46,6.096767066,0.270173564,0,0,0,0,0,0,0,0,0,0,13.62028,6.366940629
ppg6_1,25-11-2018,2018,11,47,16.84415994,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,35.66148,28.36348023
ppg6_1,02-12-2018,2018,12,48,6.653286007,0.270173564,16.26590618,0,0,0,0,0,0,0,16.26590618,0,14.58226,39.45527192
ppg6_1,09-12-2018,2018,12,49,23.06153534,0.270173564,16.26590618,0,35.06555534,0,0,0,0,0,16.26590618,2.124462667,64.72286,93.05353926
ppg6_1,16-12-2018,2018,12,50,11.49306161,0.270173564,0,11.24914672,0,0,0,12.20885119,0,0,0,0,40.55562,35.22123308
ppg6_1,23-12-2018,2018,12,51,20.38916614,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,42.48566,31.90848643
ppg6_1,30-12-2018,2018,12,52,12.19008766,0.270173564,0,0,0,0,0,0,0,0,0,0,27.99276,12.46026122
ppg6_1,06-01-2019,2019,1,1,7.474434422,0.270173564,0,0,0,0,0,0,0,0,0,0,13.57,7.744607986
ppg6_1,13-01-2019,2019,1,2,6.71530219,0.270173564,0,0,0,0,0,0,0,0,0,0,11.96744,6.985475754
ppg6_1,20-01-2019,2019,1,3,37.41533326,0.270173564,16.26590618,0,0,36.38164452,0,0,0,49.61106438,16.26590618,0,143.40806,156.2100281
ppg6_1,27-01-2019,2019,1,4,45.26004782,0.270173564,0,11.24914672,0,0,0,0,0,0,0,0,35.33608,56.77936811
ppg6_1,03-02-2019,2019,2,5,11.89892226,0.270173564,0,0,0,0,0,0,0,0,0,0,12.90036,12.16909582
ppg6_1,10-02-2019,2019,2,6,21.5518339,0.270173564,16.26590618,0,0,0,-0.628711745,0,0,0,16.26590618,0,40.92314,53.72510807
ppg6_1,17-02-2019,2019,2,7,6.829247435,0.270173564,0,0,0,0,0,0,0,0,0,0,12.80404,7.099420999
ppg6_1,24-02-2019,2019,2,8,15.26306033,0.270173564,16.26590618,0,0,0,0,12.20885119,0,0,16.26590618,0,49.33204,60.27389743
