PPG,const,Seasonal_index,Wtd.Selling.Dist,Weighted_Price,display_platinum,display_gold,display_silver,display_bronze,promo_catalogue,promo_ins,Retailer 0_Promo.Group 22_Wtd.Selling.Dist,Retailer 1_Promo.Group 3_promo_ins,Retailer 0_Promo.Group 22_promo_ins,Retailer 1_Promo.Group 6_promo_catalogue,Retailer 1_Promo.Group 3_display_bronze,Retailer 0_Promo.Group 20_display_silver,Retailer 1_Promo.Group 5_Weighted_Price,Retailer 0_Promo.Group 6_promo_catalogue,Retailer 0_Promo.Group 3_display_bronze,Retailer 0_Promo.Group 6_Wtd.Selling.Dist,Retailer 1_Promo.Group 6_Weighted_Price,Retailer 0_Promo.Group 20_display_bronze,Retailer 0_Promo.Group 6_Weighted_Price,Retailer 0_Promo.Group 3_Weighted_Price,Retailer 1_Promo.Group 6_Wtd.Selling.Dist,Retailer 1_Promo.Group 19_Weighted_Price,Retailer 1_Promo.Group 5_Wtd.Selling.Dist,Retailer 1_Promo.Group 6_display_silver,Retailer 1_Promo.Group 20_promo_ins,Retailer 1_Promo.Group 5_promo_catalogue,Retailer 1_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 20_display_platinum,Retailer 0_Promo.Group 22_display_bronze,Retailer 0_Promo.Group 19_display_bronze,Retailer 0_Promo.Group 20_promo_ins,Retailer 0_Promo.Group 3_promo_ins,Retailer 1_Promo.Group 3_display_silver,Retailer 1_Promo.Group 20_display_platinum,Retailer 1_Promo.Group 20_promo_catalogue
ppg19_0,,4.837562886074033,-0.063415343170698,6.564912135294682,-7.278409614528514e-16,0.0,-9.284959236701792e-17,0.7023392385099934,0.7023392385099956,1.1544760073644746,-0.0060214491022758,-0.1072028643115216,0.8477979989052127,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg19_1,2.0189142602649923,7.6684010231926525,-0.2055734963528419,20.029558962894384,3.4300075234442264,0.2758621709295777,1.5370134274778726,0.9820150300316172,2.2432152710968176,6.437326245963641e-14,-0.0097881081600822,,,-1.504258297795999,-0.5227321902128403,1.916955653146506,,,,,,,,,,,,,,,,,,,,,,,
ppg20_0,1.6484144847397042,6.915620265809558,0.043308376189627,-22.289686022670374,5.042994610996638,1.3999871419765793,0.5776578800671706,-0.1305085365387031,1.2838004936982323,1.2018360281911125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppg20_1,1.5542511455447876,6.054953999207598,0.1469117678656845,-70.52298124072416,4.631899234826555,4.099831817477485,1.458546639569489,0.6874726016534471,3.855166064220064,3.828807246694877,,,,3.85516606422011,,,-1.7886325006572117,0.8048965156805785,,,,,,,,,,,,,,,,,,,,,
ppg22_0,,1.326107926437318,0.0331348281544713,1.584310265278468,2.5331835508681888e-15,0.0,2.5031885414924204e-14,1.0271835602903492,1.0271835602902726,0.4141075394187635,,,,,,,,,-0.2148702690453594,-0.1006333648935865,-3.4300955929691384,0.1525719814471744,131.0365236502534,-7.948761919844016,-0.0145969446497047,-1.5912309867758705,,,,,,,,,,,,,
ppg22_1,,1.5458178252545862,0.024228475721569,-1.55306313124623,0.2662765538408209,0.1659828173847113,-0.1219351196901039,0.3016603926688864,0.5764478556557555,4.717905833025397e-16,,,,-0.881631766453115,,,,,,,,,,,,,0.0160505494604238,0.1996826907712492,-0.4985963658451889,1.17339710432349,,,,,,,,,
ppg3_0,-4.990467818336706,15.482906234144233,0.155033454615617,-30.238284206442813,14.820436134677202,10.703618214550096,3.943162982773228,2.1374402385066493,1.4562022832044406,0.7972842161895044,,,,,,,,,,,,,,,,,,,,,-1.402335385438915,0.3985793088466778,,,,,,,
ppg3_1,-4.990467818336706,15.482906234144233,0.155033454615617,-30.238284206442813,14.820436134677202,10.703618214550096,3.943162982773228,2.1374402385066493,1.4562022832044406,0.7972842161895044,,,,,,,,,,,,,,,,,,,,,-1.402335385438915,0.3985793088466778,,,,,,,
ppg5_0,0.8203272259549976,16.125811121544167,0.0841520636332303,-30.776698569828817,0.0,-2.6310885099880183e-13,-5.370572419708168e-16,-6.720671342572178,8.11417585163364,6.720137822863784,-0.0004941504630181,,-1.1164037950624732,,,-1.761015672647064,,,,,,,,,,,,,,,,,2.518272026946688,5.595903824686948,,,,,
ppg5_1,-0.1413181371112966,22.144580382234512,0.0739853536549172,-23.422774930706016,5.531136232893434,1.314553957252178,2.34532180279239,1.5049141842580265,7.704151879966457,5.669310490616061e-15,,,,,,,,,,,,,,,,,,,,,,,,,-1.886481252998271,2.8240550943419294,,,
ppg6_0,20.52451425229285,26.75365274398105,-0.1334374955082116,-50.16326234026758,27.450312756991973,10.22262930796748,-1.592009177978075,-3.8713100320787577,15.513929956260863,8.477822050709293,,,2.2403344556014817,,-0.4475670526621591,,,,,,,,,,,,,,,,,,,,,,,,
ppg6_1,-21.370708879141446,22.0675271845216,0.4014137911008884,-140.8074834796024,37.50035057466308,32.519036475426255,-5.425856764246916,8.537769810179364,17.942040240682047,13.599621586899175,,,,,,,,,,,,,,,,,,,,,-3.6279147814334074,,,,,,50.20765145438631,-3.727603952475764,17.942040240682203
