Features,Coeff
const,0.8519258428032437
display_platinum,1.33036429245666e-13
Seasonal_index,16.25376504879785
display_silver,7.027790844116975e-15
Retailer 0_Promo.Group 22_Wtd.Selling.Dist,-0.02686562785762258
Retailer 0_Promo.Group 19_display_bronze,3.335621392860789
Retailer 0_Promo.Group 22_display_bronze,2.6175684662912744
promo_catalogue,5.953189859152067
display_bronze,-6.953588766092844
Retailer 0_Promo.Group 22_promo_ins,1.8219504487085105
display_gold,0.0
promo_ins,5.235899380753031
